Review_ID,Customer_Review,Cleaned_Review,Predicted_Sentiment,Confidence_Score
1,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
2,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
3,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
4,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
5,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
6,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
7,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
8,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
9,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
10,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
11,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
12,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
13,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
14,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
15,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
16,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
17,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
18,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
19,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
20,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
21,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
22,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
23,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
24,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
25,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
26,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
27,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
28,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
29,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
30,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
31,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
32,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
33,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
34,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
35,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
36,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
37,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
38,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
39,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
40,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
41,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
42,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
43,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
44,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
45,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
46,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
47,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
48,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
49,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
50,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
51,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
52,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
53,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
54,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
55,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
56,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
57,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
58,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
59,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
60,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
61,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
62,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
63,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
64,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
65,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
66,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
67,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
68,Customer support was helpful and resolved my issue quickly.,Customer support was helpful and resolved my issue quickly.,POSITIVE,0.9867
69,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
70,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
71,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
72,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
73,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
74,Completely disappointed with the quality.,Completely disappointed with the quality.,NEGATIVE,0.9998
75,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
76,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
77,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
78,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
79,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
80,Item arrived damaged and customer service was unhelpful.,Item arrived damaged and customer service was unhelpful.,NEGATIVE,0.9997
81,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
82,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
83,Far below my expectations and not recommended.,Far below my expectations and not recommended.,NEGATIVE,0.9995
84,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
85,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
86,"Amazing features, but the battery life is awful.","Amazing features, but the battery life is awful.",NEUTRAL,0.9848
87,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
88,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
89,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
90,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
91,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
92,Loved the design but hated the overall performance.,Loved the design but hated the overall performance.,NEGATIVE,0.9922
93,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
94,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
95,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
96,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
97,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
98,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
99,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
100,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
101,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
102,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
103,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
104,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
105,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
106,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
107,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
108,This purchase was a waste of money.,This purchase was a waste of money.,NEGATIVE,0.9998
109,Fast delivery but the build quality feels weak.,Fast delivery but the build quality feels weak.,NEUTRAL,0.997
110,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
111,"Amazing value for the price, would definitely buy again.","Amazing value for the price, would definitely buy again.",POSITIVE,0.9998
112,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
113,Five stars! Everything exceeded my expectations.,Five stars! Everything exceeded my expectations.,POSITIVE,0.9995
114,"Good value for money, but customer service was terrible.","Good value for money, but customer service was terrible.",NEUTRAL,0.9964
115,"Very satisfied with this purchase, highly recommended.","Very satisfied with this purchase, highly recommended.",POSITIVE,0.9999
116,"Not worth the money, I regret buying it.","Not worth the money, I regret buying it.",NEGATIVE,0.9998
117,The product stopped working after a few days.,The product stopped working after a few days.,NEGATIVE,0.9997
118,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
119,Excellent quality and arrived earlier than expected.,Excellent quality and arrived earlier than expected.,POSITIVE,0.9997
120,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
121,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
122,Really impressed with the build quality and performance.,Really impressed with the build quality and performance.,POSITIVE,0.9999
123,The product performs exactly as described.,The product performs exactly as described.,POSITIVE,0.9988
124,Poor quality materials and unreliable performance.,Poor quality materials and unreliable performance.,NEGATIVE,0.9998
125,"Nice appearance, however the product stopped working quickly.","Nice appearance, however the product stopped working quickly.",NEGATIVE,0.998
126,"Excellent design, although the performance was disappointing.","Excellent design, although the performance was disappointing.",POSITIVE,0.9994
